domain_code,domain,area_code_fao,area,item_code_fao,item,year_code,year,flag,flag_description,area_harvested,production
QCL,Crops and livestock products,9,Argentina,56,Maize,1961,1961,NA,Official data,2744400,4850000
QCL,Crops and livestock products,9,Argentina,56,Maize,1962,1962,NA,Official data,2756670,5220000
QCL,Crops and livestock products,9,Argentina,56,Maize,1963,1963,NA,Official data,2645400,4360000
QCL,Crops and livestock products,9,Argentina,56,Maize,1964,1964,NA,Official data,2970500,5350000
QCL,Crops and livestock products,9,Argentina,56,Maize,1965,1965,NA,Official data,3062300,5140000
QCL,Crops and livestock products,9,Argentina,56,Maize,1966,1966,NA,Official data,3274500,7040000
QCL,Crops and livestock products,9,Argentina,56,Maize,1967,1967,NA,Official data,3450500,8510000
QCL,Crops and livestock products,9,Argentina,56,Maize,1968,1968,NA,Official data,3377700,6560000
QCL,Crops and livestock products,9,Argentina,56,Maize,1969,1969,NA,Official data,3556000,6860000
QCL,Crops and livestock products,9,Argentina,56,Maize,1970,1970,NA,Official data,4017330,9360000
QCL,Crops and livestock products,9,Argentina,56,Maize,1971,1971,NA,Official data,4066000,9930000
QCL,Crops and livestock products,9,Argentina,56,Maize,1972,1972,NA,Official data,3147200,5860000
QCL,Crops and livestock products,9,Argentina,56,Maize,1973,1973,NA,Official data,3565400,9700000
QCL,Crops and livestock products,9,Argentina,56,Maize,1974,1974,NA,Official data,3486000,9900000
QCL,Crops and livestock products,9,Argentina,56,Maize,1975,1975,NA,Official data,3070000,7700000
QCL,Crops and livestock products,9,Argentina,56,Maize,1976,1976,NA,Official data,2765900,5855000
QCL,Crops and livestock products,9,Argentina,56,Maize,1977,1977,NA,Official data,2532000,8300000
QCL,Crops and livestock products,9,Argentina,56,Maize,1978,1978,NA,Official data,2660000,9700000
QCL,Crops and livestock products,9,Argentina,56,Maize,1979,1979,NA,Official data,2800000,8700000
QCL,Crops and livestock products,9,Argentina,56,Maize,1980,1980,NA,Official data,2490000,6400000
QCL,Crops and livestock products,9,Argentina,56,Maize,1981,1981,NA,Official data,3394000,12900000
QCL,Crops and livestock products,9,Argentina,56,Maize,1982,1982,NA,Official data,3170000,9600000
QCL,Crops and livestock products,9,Argentina,56,Maize,1983,1983,NA,Official data,2970000,9000000
QCL,Crops and livestock products,9,Argentina,56,Maize,1984,1984,NA,Official data,3024800,9500000
QCL,Crops and livestock products,9,Argentina,56,Maize,1985,1985,NA,Official data,3340000,11900000
QCL,Crops and livestock products,9,Argentina,56,Maize,1986,1986,NA,Official data,3231000,12100000
QCL,Crops and livestock products,9,Argentina,56,Maize,1987,1987,NA,Official data,2900000,9250000
QCL,Crops and livestock products,9,Argentina,56,Maize,1988,1988,NA,Official data,2437500,9200000
QCL,Crops and livestock products,9,Argentina,56,Maize,1989,1989,NA,Official data,1683700,4900000
QCL,Crops and livestock products,9,Argentina,56,Maize,1990,1990,NA,Official data,1560330,5400000
QCL,Crops and livestock products,9,Argentina,56,Maize,1991,1991,NA,Official data,1900100,7684800
QCL,Crops and livestock products,9,Argentina,56,Maize,1992,1992,NA,Official data,2365440,10700500
QCL,Crops and livestock products,9,Argentina,56,Maize,1993,1993,NA,Official data,2503010,10901000
QCL,Crops and livestock products,9,Argentina,56,Maize,1994,1994,NA,Official data,2445040,10360000
QCL,Crops and livestock products,9,Argentina,56,Maize,1995,1995,NA,Official data,2521750,11404041
QCL,Crops and livestock products,9,Argentina,56,Maize,1996,1996,NA,Official data,2603720,10518290
QCL,Crops and livestock products,9,Argentina,56,Maize,1997,1997,NA,Official data,3410385,15536820
QCL,Crops and livestock products,9,Argentina,56,Maize,1998,1998,NA,Official data,3185390,19360656
QCL,Crops and livestock products,9,Argentina,56,Maize,1999,1999,NA,Official data,2514650,13504100
QCL,Crops and livestock products,9,Argentina,56,Maize,2000,2000,NA,Official data,3088715,16780650
